Start time,End time,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms)
09:00:00.000-04:00,09:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,20,,,,
09:15:00.000-04:00,09:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:30:00.000-04:00,09:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:45:00.000-04:00,10:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00.000-04:00,10:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:15:00.000-04:00,10:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:30:00.000-04:00,10:45:00.000-04:00,1,136.0,136.0,136.0,83.0,83.0,83.0,,,15.536458536982535,43.74517693229021,,,,,,,,,,,,,,,,,,,0.3045450813187405,0.3205737650491449,0.28851639758833597,68,63.75,63.75,63.75,
10:45:00.000-04:00,11:00:00.000-04:00,,,,,,,,,,15.536458536982535,4.982036882628761,,,,,,,,,,,,,,,,,,,,,,15,,,,
11:00:00.000-04:00,11:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:15:00.000-04:00,11:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,10,,,,
11:30:00.000-04:00,11:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,2,,,,
11:45:00.000-04:00,12:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,24,,,,
12:00:00.000-04:00,12:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:15:00.000-04:00,12:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30:00.000-04:00,12:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:45:00.000-04:00,13:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00:00.000-04:00,13:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:00.000-04:00,13:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:30:00.000-04:00,13:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,22,,,,
13:45:00.000-04:00,14:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00:00.000-04:00,14:15:00.000-04:00,,,,,,,,,,15.536458536982535,2.687934636973913,,,,,,,,,,,,,,,,,,,,,,37,,,,
14:15:00.000-04:00,14:30:00.000-04:00,1,,,,,,,,,15.536458536982535,24.65708570263474,,,,,,,,,,,,,,,,,,,0.32057375763711243,0.32057375763711243,0.32057375763711243,59,,,,
14:30:00.000-04:00,14:45:00.000-04:00,,,,,,,,,,15.536458536982535,5.4768491565914665,,,,,,,,,,,,,,,,,,,,,,9,,,,
14:45:00.000-04:00,15:00:00.000-04:00,,,,,,,,,,15.536458536982535,15.387541204711253,,,,,,,,,,,,,,,,,,,0.2564590200785209,0.2564590200785209,0.2564590200785209,24,,,,
15:00:00.000-04:00,15:15:00.000-04:00,,,,,,,,,,15.536458536982535,5.700000286102295,,,,,,,,,,,,,,,,,,,0.09661017434071686,0.09661017434071686,0.09661017434071686,8,,,,
15:15:00.000-04:00,15:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,67.96428571428571,77.0,65.0,,,,,97.37777709960938,98.0999984741211,97.0999984741211,0.0,0.0,0.0,,,,,,,,,,,
15:30:00.000-04:00,15:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,64.60714285714286,67.0,62.0,,,,,96.84643009730748,97.4000015258789,96.30000305175781,0.0,0.0,0.0,,,,,,,,,,,
15:45:00.000-04:00,16:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,65.46428571428571,71.0,64.0,,,,,96.29999923706055,98.19999694824219,94.69999694824219,0.0,0.0,0.0,,,,,,,,,,,
16:00:00.000-04:00,16:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,63.285714285714285,69.0,62.0,,,,,96.91428593226841,98.0,95.0,0.0,0.0,0.0,,,,,,,,,,,
16:15:00.000-04:00,16:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,63.214285714285715,69.0,61.0,,,,,95.92222171359592,96.69999694824219,95.19999694824219,0.0,0.0,0.0,,,,,,,,,,,
16:30:00.000-04:00,16:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,62.892857142857146,67.0,60.0,,,,,95.87222162882487,96.9000015258789,94.0,0.0,0.0,0.0,,,,,,,,,,,
16:45:00.000-04:00,17:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,60.32142857142857,63.0,59.0,,,,,97.76785632542203,98.30000305175781,96.80000305175781,0.0,0.0,0.0,,,,,,,,,,,
17:00:00.000-04:00,17:15:00.000-04:00,,,,,,,,,,15.536458536982535,,,,64.92857142857143,76.0,60.0,,,,,97.44999994550432,98.4000015258789,96.30000305175781,0.0,0.0,0.0,,,,,,,,,,,
17:15:00.000-04:00,17:30:00.000-04:00,,,,,,,,,,15.536458536982535,,,,57.285714285714285,60.0,56.0,,,,,95.1571423666818,96.80000305175781,94.0,0.0,0.0,0.0,,,,,,,,,,,
17:30:00.000-04:00,17:45:00.000-04:00,,,,,,,,,,15.536458536982535,,,,57.92857142857143,63.0,55.0,,,,,96.01785659790039,98.0999984741211,94.5999984741211,0.0,0.0,0.0,,,,,,,,,,,
17:45:00.000-04:00,18:00:00.000-04:00,,,,,,,,,,15.536458536982535,,,,58.607142857142854,60.0,57.0,,,,,97.60384544959435,99.0,95.19999694824219,0.0,0.0,0.0,,,,,,,,,,,
18:00:00.000-04:00,18:15:00.000-04:00,,,,,,,,,,15.536458536982535,36.89999866485596,,,78.96428571428571,91.0,63.0,,,,,96.19999694824219,96.19999694824219,96.19999694824219,0.0,0.0,0.0,,,,0.17288135067891264,0.2406779628689006,0.059322033898305086,52,,,,
18:15:00.000-04:00,18:30:00.000-04:00,9,,,,,,,,,15.536458536982535,423.1000032424927,1.0,1,94.39285714285714,100.0,88.0,,,,,,,,,,,,,,0.5285714348061034,1.2932203907077595,0.10847456980559786,594,,,,
18:30:00.000-04:00,18:45:00.000-04:00,4,,,,,,,,,15.536458536982535,200.90000247955322,,,83.53571428571429,99.0,71.0,,,,,,,,,,,,,,0.29782082324455206,1.1000000258623543,0.08305084907402427,282,,,,
18:45:00.000-04:00,19:00:00.000-04:00,11,,,,,,,,,39.1353083138977,500.9999990463257,7.0,7,97.20786516853933,108.0,93.0,,,,,,,,,,,,,,0.5680992712986094,1.1728814335192663,0.10847456980559786,232,,,,441000
19:00:00.000-04:00,19:15:00.000-04:00,15,,,,,,,,,63.6973764490543,877.8000049591064,15.0,15,99.6340782122905,107.0,91.0,,,,,,,,,,,,,,0.9737288195630829,1.2949151507878707,0.5186440742621987,,,,,900000
19:15:00.000-04:00,19:30:00.000-04:00,4,,,,,,,,,31.46565459749815,195.399995803833,4.0,4,85.10714285714286,105.0,70.0,,,,,,,,,,,,,,0.8240112854262531,1.2576270669193592,0.42203389183949613,,,,,298000
19:30:00.000-04:00,19:45:00.000-04:00,,,,,,,,,,15.510416870315872,50.29999828338623,,,87.07142857142857,91.0,78.0,,,,,,,,,,,,,,0.21779660162567804,0.26440676996263407,0.16779660370390295,71,,,,
19:45:00.000-04:00,20:00:00.000-04:00,,,,,,,,,,15.510416870315872,,,,76.5,79.0,74.0,,,,,,,,,,,,,,,,,,,,,
20:00:00.000-04:00,20:15:00.000-04:00,,,,,,,,,,15.510416870315872,,,,74.57142857142857,79.0,71.0,,,,,,,,,,,,,,,,,,,,,
20:15:00.000-04:00,20:30:00.000-04:00,,,,,,,,,,15.510416870315872,24.799999713897705,,,76.71428571428571,92.0,66.0,,,,,,,,,,,,,,0.10988700457211942,0.2525423664157673,0.07118643744517181,35,,,,
20:30:00.000-04:00,20:45:00.000-04:00,,,,,,,,,,15.510416870315872,12.800000190734863,,,78.60714285714286,90.0,70.0,,,,,,,,,,,,,,0.10847457788758358,0.1203389814344503,0.09661017434071686,18,,,,
20:45:00.000-04:00,21:00:00.000-04:00,,,,,,,,,,15.510416870315872,,,,69.92857142857143,75.0,67.0,,,,,,,,,,,,,,,,,,,,,
21:00:00.000-04:00,21:15:00.000-04:00,,,,,,,,,,15.510416870315872,15.5,,,75.25,81.0,71.0,,,,,,,,,,,,,,0.10169491525423731,0.1440677966101695,0.035593218722585904,22,,,,
21:15:00.000-04:00,21:30:00.000-04:00,,,,,,,,,,15.510416870315872,,,,70.64285714285714,73.0,69.0,,,,,,,,,,,,,,,,,,,,,
21:30:00.000-04:00,21:45:00.000-04:00,,,,,,,,,,15.510416870315872,10.59999942779541,,,68.32142857142857,72.0,65.0,,,,,,,,,,,,,,0.17966100725076967,0.17966100725076967,0.17966100725076967,15,,,,
21:45:00.000-04:00,22:00:00.000-04:00,,,,,,,,,,15.510416870315872,,,,67.82142857142857,69.0,66.0,,,,,,,,,,,,,,,,,,,,,
22:00:00.000-04:00,22:15:00.000-04:00,,,,,,,,,,15.510416870315872,,,,66.89285714285714,68.0,65.0,,,,,93.12499952316284,95.0,92.19999694824219,0.0,0.0,0.0,,,,,,,,,,,
22:15:00.000-04:00,22:30:00.000-04:00,,,,,,,,,,15.510416870315872,,,,67.78571428571429,69.0,67.0,,,,,95.0999984741211,95.0999984741211,95.0999984741211,0.0,0.0,0.0,,,,,,,,,,,
22:30:00.000-04:00,22:45:00.000-04:00,,,,,,,,,,15.510416870315872,,,,67.07142857142857,68.0,66.0,,,,,,,,,,,,,,,,,,,,,
22:45:00.000-04:00,23:00:00.000-04:00,,,,,,,,,,15.510416870315872,,,,72.57142857142857,86.0,67.0,,,,,,,,,,,,,,,,,,,,,
23:00:00.000-04:00,23:15:00.000-04:00,,,,,,,,,,15.510416870315872,,,,65.21428571428571,68.0,64.0,,,,,,,,,,,,,,,,,,,,,
23:15:00.000-04:00,23:30:00.000-04:00,,,,,,,,,,15.510416870315872,14.199999332427979,,,65.17857142857143,70.0,64.0,,,,,,,,,,,,,,0.12033897739345745,0.13220338498131703,0.10847456980559786,20,,,,
23:30:00.000-04:00,23:45:00.000-04:00,,,,,,,,,,15.510416870315872,,,,59.535714285714285,64.0,58.0,,,,,87.95000076293945,88.5,87.4000015258789,0.0,0.0,0.0,,,,,,,,,,,
23:45:00.000-04:00,00:00:00.000-04:00,,,,,,,,,,15.510416870315872,,,,61.785714285714285,65.0,59.0,,,,,88.71249866485596,88.9000015258789,88.5,0.0,0.0,0.0,,,,,,,,,,,
