Start time,End time,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,,,,,,,,,,18.249999372366034,,,,,,,,,,,,,,,,,,,,,,,13,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,,,,,,,,,,36.14470930329208,,,,,,,,,,,,,,,,,,,,,,,554,,,,213901,315171
06:00:00.000-04:00,06:15:00.000-04:00,,,,,,,,,,18.249999990982946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:15:00.000-04:00,06:30:00.000-04:00,,,,,,,,,,18.249999817471974,,,,,,,,,,,,,,,,,,,,,,,21,,,,878076,
06:30:00.000-04:00,06:45:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,10,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,,,,,,,,,,18.249999813139713,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,
