Date,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
7/8/2017,,,,,,,,,,501.1955914,,,,,,,,,,,,,,,,,,,,,,,40,,,,,24716495,
7/9/2017,,,,,,,,,,1780.440925,,,,,,,,,,,,,,,,,,,,9.222928075,21.75574684,0.5,1279,,,,,75834179,500917
7/10/2017,,,,,,,,,,1795.162786,178.4436717,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,1383,,,,,78633603,760206
7/11/2017,,,,,,,,,,702.7534189,,,,,,,,,,,,,,,,,,,,,,,644,,,,,32165832,315171
6/5/2023,23,133.0972028,135,130,72.61118881,75,67,,,,1181.12169,,,66.83020134,102,54,,,,,95.93304036,99,92.80000305,0,0,0,,,,0.184217561,1.828888757,0.011864407,1792,62.66321877,65.25,50.09999847,,,
6/6/2023,7,132,136,128,77,77,77,,,,789.353439,,,63.16296039,89,49,,,,,96.63343723,98.69999695,88.69999695,0,0,0,,,,0.184676168,0.796161662,0.047457626,1229,,,,,,
6/7/2023,23,122,122,122,70,70,70,,,1490.157551,1215.829789,1,1,65.72411397,93,51,,,,,94.81178852,98.09999847,91.40000153,0,0,0,,,,0.154917246,1.698410459,0.035593219,1932,,,,,,
6/8/2023,5,117.0750716,123,115,78.4249284,83,74,,,1490.157551,501.1548204,,,64.17373176,91,51,,,,,95.28468964,97.40000153,92.90000153,0,0,0,,,,0.190036731,0.518644074,0.047457626,854,64.90000153,64.90000153,64.90000153,,,
6/9/2023,16,119,119,119,78,78,78,,,1528.881364,867.4832269,10,10,68.05663655,110,50,,,,,94.78718405,98.5,91.30000305,0,0,0,,,,0.220310495,0.568533624,0.011864407,1357,64.84999847,64.84999847,64.84999847,650297,,
6/10/2023,17,127,127,127,70,70,70,,,1500.000004,956.4668399,,,66.17824878,95,54,,,,,93.9529188,99.69999695,85.69999695,0,0,0,,,,0.153359584,0.676271212,0.011864407,1509,65.90000153,65.90000153,65.90000153,,,
6/11/2023,9,116.5,118,115,72,74,70,,,1499.914577,1022.587533,,,65.81514941,112,51,,,,,92.43444421,98.5,83.80000305,0,0,0,,,,0.182983394,1.15932206,0.011864407,1548,64.75,64.75,64.75,,,
6/12/2023,5,118,118,118,77,77,77,,,673.2718613,222.6060848,,,57.46296296,61,55,,,,,,,,,,,,,,0.56703301,0.966225585,0.267144813,382,65.09999847,65.09999847,65.09999847,,,
